category,Heart Rate,seconds_count,label,date_of_sleep,asleep_seconds,awake_seconds,light_seconds,deep_seconds,rem_seconds,time_hours,time_minutes,time_seconds
light,64.0,690,,2022-09-13,22020,600,13140,3840,5040,1,47,0
deep,62.0,330,,2022-09-13,22020,600,13140,3840,5040,1,59,0
light,64.0,480,,2022-09-13,22020,600,13140,3840,5040,2,4,0
deep,65.0,870,,2022-09-13,22020,600,13140,3840,5040,2,12,0
light,64.0,510,,2022-09-13,22020,600,13140,3840,5040,2,27,0
deep,64.0,810,,2022-09-13,22020,600,13140,3840,5040,2,35,0
light,62.0,870,,2022-09-13,22020,600,13140,3840,5040,2,49,0
rem,65.0,660,,2022-09-13,22020,600,13140,3840,5040,3,3,0
light,59.0,1740,,2022-09-13,22020,600,13140,3840,5040,3,14,0
deep,61.0,1830,,2022-09-13,22020,600,13140,3840,5040,3,43,0
light,60.0,660,,2022-09-13,22020,600,13140,3840,5040,4,14,0
rem,61.0,930,,2022-09-13,22020,600,13140,3840,5040,4,25,0
light,59.0,4740,,2022-09-13,22020,600,13140,3840,5040,4,40,0
rem,61.0,2100,,2022-09-13,22020,600,13140,3840,5040,5,59,0
awake,59.0,450,,2022-09-13,22020,600,13140,3840,5040,6,34,0
light,59.0,3000,,2022-09-13,22020,600,13140,3840,5040,6,42,0
rem,59.0778,1170,,2022-09-13,22020,600,13140,3840,5040,7,32,0
awake,58.0,60,,2022-09-13,22020,600,13140,3840,5040,7,51,0
rem,59.0,180,,2022-09-13,22020,600,13140,3840,5040,7,52,0
awake,59.0,90,,2022-09-13,22020,600,13140,3840,5040,7,55,0
light,59.0,450,,2022-09-13,22020,600,13140,3840,5040,7,57,0
light,71.0,120,,2022-09-14,25950,780,16890,3540,5520,1,13,0
awake,62.0,150,,2022-09-14,25950,780,16890,3540,5520,1,15,0
light,62.0,900,,2022-09-14,25950,780,16890,3540,5520,1,17,0
deep,62.0,1140,,2022-09-14,25950,780,16890,3540,5520,1,32,0
light,61.0,930,,2022-09-14,25950,780,16890,3540,5520,1,51,0
rem,64.0,990,,2022-09-14,25950,780,16890,3540,5520,2,7,0
light,61.0,30,,2022-09-14,25950,780,16890,3540,5520,2,23,0
rem,61.0,30,,2022-09-14,25950,780,16890,3540,5520,2,24,0
light,61.0,1230,,2022-09-14,25950,780,16890,3540,5520,2,24,0
deep,69.0,780,,2022-09-14,25950,780,16890,3540,5520,2,45,0
light,68.0,1650,,2022-09-14,25950,780,16890,3540,5520,2,58,0
deep,61.0,1440,,2022-09-14,25950,780,16890,3540,5520,3,25,0
light,58.0,630,,2022-09-14,25950,780,16890,3540,5520,3,49,0
rem,62.0,1860,,2022-09-14,25950,780,16890,3540,5520,4,0,0
light,60.0,4020,,2022-09-14,25950,780,16890,3540,5520,4,31,0
awake,56.0,90,,2022-09-14,25950,780,16890,3540,5520,5,38,0
light,57.0,60,,2022-09-14,25950,780,16890,3540,5520,5,39,0
awake,57.0,120,,2022-09-14,25950,780,16890,3540,5520,5,40,0
light,57.0,150,,2022-09-14,25950,780,16890,3540,5520,5,42,0
awake,61.0,120,,2022-09-14,25950,780,16890,3540,5520,5,45,0
light,61.0,60,,2022-09-14,25950,780,16890,3540,5520,5,47,0
rem,61.0,540,,2022-09-14,25950,780,16890,3540,5520,5,48,0
awake,56.0,90,,2022-09-14,25950,780,16890,3540,5520,5,57,0
light,56.0,120,,2022-09-14,25950,780,16890,3540,5520,5,58,0
awake,56.0,90,,2022-09-14,25950,780,16890,3540,5520,6,0,0
light,56.0,780,,2022-09-14,25950,780,16890,3540,5520,6,2,0
awake,59.0,30,,2022-09-14,25950,780,16890,3540,5520,6,15,0
light,59.0,3000,,2022-09-14,25950,780,16890,3540,5520,6,15,0
rem,58.0,60,,2022-09-14,25950,780,16890,3540,5520,7,5,0
light,58.0,150,,2022-09-14,25950,780,16890,3540,5520,7,6,0
rem,59.0,2040,,2022-09-14,25950,780,16890,3540,5520,7,9,0
awake,63.0,30,,2022-09-14,25950,780,16890,3540,5520,7,43,0
light,63.0,330,,2022-09-14,25950,780,16890,3540,5520,7,43,0
awake,62.0,60,,2022-09-14,25950,780,16890,3540,5520,7,49,0
light,62.0,1620,,2022-09-14,25950,780,16890,3540,5520,7,50,0
light,75.0,900,,2022-09-14,25950,780,16890,3540,5520,23,39,0
deep,72.0,180,,2022-09-14,25950,780,16890,3540,5520,23,54,0
light,71.0,210,,2022-09-14,25950,780,16890,3540,5520,23,57,0
deep,72.0,2130,,2022-09-15,24720,450,15210,2850,6660,0,0,0
awake,68.0,60,,2022-09-15,24720,450,15210,2850,6660,0,36,0
light,68.0,300,,2022-09-15,24720,450,15210,2850,6660,0,37,0
rem,66.0,300,,2022-09-15,24720,450,15210,2850,6660,0,42,0
light,65.0,4890,,2022-09-15,24720,450,15210,2850,6660,0,47,0
rem,61.0,2430,,2022-09-15,24720,450,15210,2850,6660,2,8,0
light,59.0,1680,,2022-09-15,24720,450,15210,2850,6660,2,49,0
deep,60.0,720,,2022-09-15,24720,450,15210,2850,6660,3,17,0
light,74.5631,2220,,2022-09-15,24720,450,15210,2850,6660,3,29,0
awake,55.0,60,,2022-09-15,24720,450,15210,2850,6660,4,6,0
light,55.0,390,,2022-09-15,24720,450,15210,2850,6660,4,7,0
rem,59.0,1260,,2022-09-15,24720,450,15210,2850,6660,4,13,0
awake,57.0,60,,2022-09-15,24720,450,15210,2850,6660,4,34,0
light,53.0,240,,2022-09-15,24720,450,15210,2850,6660,4,35,0
awake,53.0,210,,2022-09-15,24720,450,15210,2850,6660,4,39,0
light,60.0,3120,,2022-09-15,24720,450,15210,2850,6660,4,43,0
rem,55.0,810,,2022-09-15,24720,450,15210,2850,6660,5,35,0
awake,56.0,60,,2022-09-15,24720,450,15210,2850,6660,5,48,0
rem,56.0,1860,,2022-09-15,24720,450,15210,2850,6660,5,49,0
light,58.0,2040,,2022-09-15,24720,450,15210,2850,6660,6,20,0
light,76.0,330,,2022-09-15,24720,450,15210,2850,6660,23,55,0
awake,64.0,180,,2022-09-16,26790,1020,19620,2010,5160,0,1,0
light,62.0,360,,2022-09-16,26790,1020,19620,2010,5160,0,4,0
awake,62.0,240,,2022-09-16,26790,1020,19620,2010,5160,0,10,0
light,68.0,1200,,2022-09-16,26790,1020,19620,2010,5160,0,14,0
deep,73.0,540,,2022-09-16,26790,1020,19620,2010,5160,0,34,0
light,64.0,60,,2022-09-16,26790,1020,19620,2010,5160,0,43,0
awake,64.0,30,,2022-09-16,26790,1020,19620,2010,5160,0,44,0
light,64.0,1080,,2022-09-16,26790,1020,19620,2010,5160,0,44,0
rem,63.0,1530,,2022-09-16,26790,1020,19620,2010,5160,1,2,0
