date_of_sleep,asleep_seconds,awake_seconds,category,time_hours,time_minutes,time_seconds,seconds_count,deep_seconds,light_seconds,rem_seconds,source,label,weekday,time_to_deep_seconds,time_to_rem_seconds
2024-03-23,20280,2460,awake,0,37,0,30,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,0,37,30,810,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,deep,0,51,0,2640,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,1,35,0,3480,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,deep,2,33,0,510,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,2,41,30,1230,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,rem,3,2,0,2010,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,3,35,30,1380,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,awake,3,58,30,330,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,4,4,0,1530,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,deep,4,29,30,1110,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,light,4,48,0,5040,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,rem,6,12,0,1410,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-23,20280,2460,awake,6,35,30,1260,4260.0,12720.0,3300.0,fitbit,,Saturday,840,8700
2024-03-22,19260,1860,awake,0,21,0,30,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,0,21,30,750,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,deep,0,34,0,1140,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,0,53,0,2430,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,awake,1,33,30,390,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,1,40,0,1980,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,rem,2,13,0,300,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,2,18,0,90,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,deep,2,19,30,630,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,2,30,0,2700,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,rem,3,15,0,1170,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,3,34,30,660,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,rem,3,45,30,1110,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,light,4,4,0,1680,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
2024-03-22,19260,1860,rem,4,32,0,450,1560.0,12780.0,4920.0,fitbit,,Friday,780,6720
